Date;Hour;Forex;Event;Actuel;Forecast;Previous
25/07/2008;14:30:00;USD;Commandes de biens durables;0.02;-0.002;-0.009
25/07/2008;16:00:00;USD;Ventes de logements neufs;530;508;512
29/07/2008;16:00:00;USD;Confiance des consommateurs;51.9;50;50.4
31/07/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;448;395;406
31/07/2008;09:55:00;EUR;Nombre chomeur Allemagne;-20;-20;-38
31/07/2008;14:30:00;USD;PIB Trimestriel;0.019;0.02;0.01
04/08/2008;16:00:00;USD;Promesses de ventes de logements;-0.019;-0.008;0
05/08/2008;13:45:00;EUR;Decision de la BCE sur les taux directeur;0.04;0.04;0.04
05/08/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;365;370;380
07/08/2008;16:00:00;USD;Promesses de ventes de logements;-0.047;-0.024;0.063
10/08/2008;16:00:00;USD;Promesses de ventes de logements;0.074;-0.015;-0.032
13/08/2008;14:30:00;USD;Ventes au détail mensuelle;-0.001;0;0.001
14/08/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;450;433;455
14/08/2008;14:30:00;USD;IPC core mensuel;0.003;0.002;0.003
14/08/2008;08:00:00;EUR;PIB Trimestriel All;-0.005;-0.008;0.015
19/08/2008;14:30:00;USD;Permis de construire;0.94;0.98;1.14
19/08/2008;14:30:00;USD;Prix à la production mensuel;0.012;0.006;0.018
21/08/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;432;443;450
21/08/2008;09:30:00;EUR;PMI manufacturier Allemagne;49.9;50.5;50.9
26/08/2008;16:00:00;USD;Confiance des consommateurs;56.9;53;51.9
26/08/2008;10:00:00;EUR;IFO climat des affaires Allemagne;94.8;97.1;97.5
26/08/2008;08:00:00;EUR;PIB Trimestriel All;-0.005;-0.005;-0.005
26/08/2008;16:00:00;USD;Ventes de logements neufs;515;530;530
27/08/2008;14:30:00;USD;Commandes de biens durables;0.007;-0.005;0.02
28/08/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;425;427;432
28/08/2008;09:55:00;EUR;Nombre chomeur Allemagne;-40;-10;-20
28/08/2008;14:30:00;USD;PIB Trimestriel;0.033;0.026;0.019
06/09/2008;17:00:00;USD;Promesses de ventes de logements;0.063;-0.005;-0.01
09/09/2008;16:00:00;USD;Promesses de ventes de logements;0.032;-0.012;0.053
10/09/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;478;475;497
12/09/2008;17:00:00;USD;Promesses de ventes de logements;-0.007;-0.032;-0.046
16/09/2008;20:15:00;USD;Decision de la FED sur les taux directeur;0.02;0.02;0.02
16/09/2008;14:30:00;USD;IPC core mensuel;0.002;0.002;0.003
17/09/2008;14:30:00;USD;Permis de construire;0.85;0.93;0.94
18/09/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;455;440;445
23/09/2008;09:30:00;EUR;PMI manufacturier Allemagne;48.1;49.2;49.7
24/09/2008;10:00:00;EUR;IFO climat des affaires Allemagne;92.9;94.2;94.8
24/09/2008;16:00:00;USD;Ventes de logements existants;4.91;4.93;5
25/09/2008;14:30:00;USD;Commandes de biens durables;-0.03;-0.005;0.007
25/09/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;493;450;455
25/09/2008;16:00:00;USD;Ventes de logements neufs;460;510;515
26/09/2008;14:30:00;USD;PIB Trimestriel;0.028;0.033;0.033
30/09/2008;16:00:00;USD;Confiance des consommateurs;59.8;54.6;56.9
30/09/2008;09:55:00;EUR;Nombre chomeur Allemagne;-29;-15;-40
04/10/2008;13:45:00;EUR;Decision de la BCE sur les taux directeur;0.04;0.04;0.04
04/10/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;357;365;407
07/10/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;346;397;404
15/10/2008;14:30:00;USD;Prix à la production mensuel;-0.004;-0.004;-0.009
15/10/2008;14:30:00;USD;Ventes au détail mensuelle;-0.012;-0.006;-0.003
16/10/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;-4;469;478
16/10/2008;14:30:00;USD;IPC core mensuel;0.004;0.002;0.002
17/10/2008;14:30:00;USD;Permis de construire;0.79;0.84;0.86
23/10/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;478;470;461
24/10/2008;09:30:00;EUR;PMI manufacturier Allemagne;43.3;46;47.4
24/10/2008;16:00:00;USD;Ventes de logements existants;5.18;4.95;4.91
27/10/2008;16:00:00;USD;Ventes de logements neufs;464;452;460
28/10/2008;16:00:00;USD;Confiance des consommateurs;38;52.2;59.8
29/10/2008;14:30:00;USD;Commandes de biens durables;-0.011;-0.015;-0.033
29/10/2008;20:15:00;USD;Decision de la FED sur les taux directeur;0.01;0.01;0.015
30/10/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;479;478;478
30/10/2008;10:55:00;EUR;Nombre chomeur Allemagne;-26;-10;-29
30/10/2008;14:30:00;USD;PIB Trimestriel;-0.003;-0.005;0.028
09/11/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;445;440;444
12/11/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;573;530;509
13/11/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;516;483;481
14/11/2008;15:30:00;USD;Ventes au détail mensuelle;-0.028;-0.02;-0.012
18/11/2008;15:30:00;USD;Prix à la production mensuel;-0.028;-0.019;-0.004
19/11/2008;15:30:00;USD;IPC core mensuel;-0.001;0.001;0.001
19/11/2008;15:30:00;USD;Permis de construire;0.71;0.77;0.81
20/11/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;542;508;516
21/11/2008;10:30:00;EUR;PMI manufacturier Allemagne;36.7;42;42.9
24/11/2008;17:00:00;USD;Ventes de logements existants;4.98;5;5.18
25/11/2008;17:00:00;USD;Confiance des consommateurs;44.9;38;38
25/11/2008;15:30:00;USD;PIB Trimestriel;-0.005;-0.005;-0.003
25/11/2008;09:00:00;EUR;PIB Trimestriel All;-0.005;-0.005;-0.005
26/11/2008;15:30:00;USD;Commandes de biens durables;-0.044;-0.014;-0.01
26/11/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;529;530;542
26/11/2008;17:00:00;USD;Ventes de logements neufs;433;443;464
27/11/2008;10:55:00;EUR;Nombre chomeur Allemagne;-10;-4;-26
06/12/2008;14:30:00;USD;Inscriptions hebdomadaires au chomage;384;370;357
06/12/2008;15:30:00;USD;Ventes au détail mensuelle;0.01;0.005;-0.002
09/12/2008;14:30:00;USD;Prix à la production mensuel;-0.009;-0.005;0.012
09/12/2008;14:30:00;USD;Ventes au détail mensuelle;-0.003;0.002;-0.001
12/12/2008;15:30:00;USD;Prix à la production mensuel;-0.022;-0.02;-0.028
12/12/2008;15:30:00;USD;Ventes au détail mensuelle;-0.018;-0.019;-0.028
16/12/2008;21:15:00;USD;Decision de la FED sur les taux directeur;0.0025;0.005;0.01
16/12/2008;15:30:00;USD;IPC core mensuel;0;0.001;-0.001
16/12/2008;15:30:00;USD;Permis de construire;0.62;0.7;0.73
16/12/2008;10:30:00;EUR;PMI manufacturier Allemagne;33.5;34.5;35.7
18/12/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;554;558;573
23/12/2008;15:30:00;USD;PIB Trimestriel;-0.005;-0.005;-0.005
23/12/2008;17:00:00;USD;Ventes de logements existants;4.49;4.9;4.98
23/12/2008;17:00:00;USD;Ventes de logements neufs;407;417;433
24/12/2008;15:30:00;USD;Commandes de biens durables;0.012;-0.03;-0.054
24/12/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;586;550;554
30/12/2008;17:00:00;USD;Confiance des consommateurs;38;45.5;44.9
31/12/2008;15:30:00;USD;Inscriptions hebdomadaires au chomage;492;575;586
04/01/2009;16:00:00;USD;Indice PMI manufacturier de l'ISM;36.3;35.7;35.8
04/01/2009;16:00:00;USD;Promesses de ventes de logements;0.021;0.003;-0.077
05/01/2009;16:00:00;USD;Indice PMI manufacturier de l'ISM;40.1;38;36.3
06/01/2009;16:00:00;USD;Indice PMI manufacturier de l'ISM;42.8;42;40.1
06/01/2009;09:55:00;EUR;PMI manufacturier Allemagne;39.6;39.1;39.1
07/01/2009;16:00:00;USD;Indice PMI manufacturier de l'ISM;44.8;44;42.8
07/01/2009;16:00:00;USD;Promesses de ventes de logements;0.001;0.017;0.071
09/01/2009;16:00:00;USD;Indice PMI manufacturier de l'ISM;52.9;50.5;48.9
09/01/2009;09:55:00;EUR;Nombre chomeur Allemagne;-1;30;-5
09/01/2009;09:55:00;EUR;PMI manufacturier Allemagne;49.2;49;49
09/01/2009;16:00:00;USD;Promesses de ventes de logements;0.032;0.018;0.036
10/01/2009;16:00:00;USD;Indice PMI manufacturier de l'ISM;52.6;54.5;52.9
10/01/2009;14:30:00;USD;Inscriptions hebdomadaires au chomage;551;535;534
10/01/2009;09:55:00;EUR;PMI manufacturier Allemagne;49.6;49.6;49.6
10/01/2009;16:00:00;USD;Promesses de ventes de logements;0.064;0.01;0.032
12/01/2009;17:00:00;USD;Indice PMI manufacturier de l'ISM;53.6;54.8;55.7
12/01/2009;10:55:00;EUR;Nombre chomeur Allemagne;-7;5;-26
12/01/2009;10:55:00;EUR;PMI manufacturier Allemagne;52.4;52;52
12/01/2009;17:00:00;USD;Promesses de ventes de logements;0.037;-0.005;0.06
14/01/2009;15:30:00;USD;Ventes au détail mensuelle;-0.027;-0.012;-0.018
15/01/2009;14:45:00;EUR;Decision de la BCE sur les taux directeur;0.02;0.02;0.025
15/01/2009;15:30:00;USD;Inscriptions hebdomadaires au chomage;524;520;467
15/01/2009;15:30:00;USD;Prix à la production mensuel;-0.019;-0.02;-0.022
16/01/2009;15:30:00;USD;IPC core mensuel;0;0.001;0
22/01/2009;15:30:00;USD;Inscriptions hebdomadaires au chomage;589;545;524
22/01/2009;15:30:00;USD;Permis de construire;0.55;0.6;0.62
23/01/2009;10:30:00;EUR;PMI manufacturier Allemagne;32;32;32.7
26/01/2009;17:00:00;USD;Ventes de logements existants;4.74;4.4;4.49
27/01/2009;17:00:00;USD;Confiance des consommateurs;37.7;38.7;38
28/01/2009;21:15:00;USD;Decision de la FED sur les taux directeur;0.0025;0.0025;0.0025
29/01/2009;15:30:00;USD;Commandes de biens durables;-0.036;-0.026;-0.017
29/01/2009;15:30:00;USD;Inscriptions hebdomadaires au chomage;588;580;589
29/01/2009;10:55:00;EUR;Nombre chomeur Allemagne;56;32;33
29/01/2009;17:00:00;USD;Ventes de logements neufs;331;395;407
30/01/2009;15:30:00;USD;PIB Trimestriel;-0.038;-0.054;-0.005
01/02/2009;17:00:00;USD;Indice PMI manufacturier de l'ISM;32.4;35.5;36.2
02/02/2009;17:00:00;USD;Indice PMI manufacturier de l'ISM;35.6;32.4;32.9
03/02/2009;17:00:00;USD;Indice PMI manufacturier de l'ISM;35.8;34;35.6
04/02/2009;13:45:00;EUR;Decision de la BCE sur les taux directeur;0.0125;0.01;0.015
04/02/2009;14:30:00;USD;Inscriptions hebdomadaires au chomage;669;653;652
06/02/2009;16:00:00;USD;Promesses de ventes de logements;0.067;0.005;0.032
07/02/2009;14:30:00;USD;Creation d'emplois dans le secteur non agricole;-467;-375;-322
07/02/2009;13:45:00;EUR;Decision de la BCE sur les taux directeur;0.01;0.01;0.01
07/02/2009;14:30:00;USD;Inscriptions hebdomadaires au chomage;614;612;630
07/02/2009;14:30:00;USD;Taux de chomage;0.095;0.096;0.094
10/02/2009;14:30:00;USD;Creation d'emplois dans le secteur non agricole;-263;-190;-201
10/02/2009;14:30:00;USD;Taux de chomage;0.098;0.098;0.097
11/02/2009;17:00:00;USD;Indice PMI manufacturier de l'ISM;55.7;53;52.6
11/02/2009;17:00:00;USD;Promesses de ventes de logements;0.061;0.004;0.064
13/02/2009;09:00:00;EUR;PIB Trimestriel All;-0.021;-0.018;-0.005
18/02/2009;14:30:00;USD;Permis de construire;0.52;0.52;0.55
19/02/2009;15:30:00;USD;Inscriptions hebdomadaires au chomage;627;615;623
19/02/2009;15:30:00;USD;Prix à la production mensuel;0.008;0.002;-0.019
20/02/2009;15:30:00;USD;IPC core mensuel;0.002;0.001;0
20/02/2009;10:30:00;EUR;PMI manufacturier Allemagne;32.2;32.5;32
24/02/2009;17:00:00;USD;Confiance des consommateurs;25;35.5;37.7
25/02/2009;09:00:00;EUR;PIB Trimestriel All;-0.021;-0.021;-0.021
25/02/2009;17:00:00;USD;Ventes de logements existants;4.49;4.78;4.74
26/02/2009;15:30:00;USD;Commandes de biens durables;-0.025;-0.021;-0.055
26/02/2009;15:30:00;USD;Inscriptions hebdomadaires au chomage;667;630;627
26/02/2009;10:55:00;EUR;Nombre chomeur Allemagne;40;60;56
26/02/2009;17:00:00;USD;Ventes de logements neufs;309;325;331
27/02/2009;15:30:00;USD;PIB Trimestriel;-0.062;-0.054;-0.038
02/03/2009;17:00:00;USD;Promesses de ventes de logements;0.063;0;-0.04
03/03/2009;17:00:00;USD;Promesses de ventes de logements;-0.077;-0.03;0.063
04/03/2009;14:30:00;USD;Creation d'emplois dans le secteur non agricole;-663;-662;-651
04/03/2009;16:00:00;USD;Indice PMI manufacturier de l'ISM;40.8;41.9;41.6
04/03/2009;14:30:00;USD;Taux de chomage;0.085;0.085;0.081
06/03/2009;16:00:00;USD;Indice PMI manufacturier de l'ISM;44;45.1;43.7
08/03/2009;16:00:00;USD;Indice PMI manufacturier de l'ISM;48.9;46.5;44.8
09/03/2009;13:45:00;EUR;Decision de la BCE sur les taux directeur;0.01;0.01;0.01
09/03/2009;16:00:00;USD;Indice PMI manufacturier de l'ISM;48.4;48.5;46.4
09/03/2009;14:30:00;USD;Inscriptions hebdomadaires au chomage;570;560;574
12/03/2009;14:45:00;EUR;Decision de la BCE sur les taux directeur;0.01;0.01;0.01
12/03/2009;17:00:00;USD;Indice PMI manufacturier de l'ISM;48.7;51.5;50.6
12/03/2009;15:30:00;USD;Inscriptions hebdomadaires au chomage;457;482;462
17/03/2009;14:30:00;USD;Permis de construire;0.55;0.51;0.53
17/03/2009;14:30:00;USD;Prix à la production mensuel;0.001;0.003;0.008
18/03/2009;20:15:00;USD;Decision de la FED sur les taux directeur;0.0025;0.0025;0.0025
18/03/2009;14:30:00;USD;IPC core mensuel;0.002;0.001;0.002
19/03/2009;14:30:00;USD;Inscriptions hebdomadaires au chomage;646;649;654
23/03/2009;16:00:00;USD;Ventes de logements existants;4.72;4.45;4.49
24/03/2009;10:30:00;EUR;PMI manufacturier Allemagne;32.4;32.1;32.1
25/03/2009;14:30:00;USD;Commandes de biens durables;0.039;-0.02;-0.059
25/03/2009;16:00:00;USD;Ventes de logements neufs;337;302;309
26/03/2009;14:30:00;USD;Inscriptions hebdomadaires au chomage;652;649;646
26/03/2009;14:30:00;USD;PIB Trimestriel;-0.063;-0.066;-0.062
31/03/2009;16:00:00;USD;Confiance des consommateurs;26;27.8;25
31/03/2009;09:55:00;EUR;Nombre chomeur Allemagne;69;53;40
02/04/2009;17:00:00;USD;Indice PMI manufacturier de l'ISM;42.9;39.1;40.1
03/04/2009;17:00:00;USD;Indice PMI manufacturier de l'ISM;41.6;41.2;42.9
05/04/2009;16:00:00;USD;Promesses de ventes de logements;0.032;0.001;0.02
06/04/2009;13:45:00;EUR;Decision de la BCE sur les taux directeur;0.01;0.01;0.01
06/04/2009;14:30:00;USD;Inscriptions hebdomadaires au chomage;621;621;625
08/04/2009;16:00:00;USD;Promesses de ventes de logements;0.036;0.008;0.008
09/04/2009;14:30:00;USD;Creation d'emplois dans le secteur non agricole;-216;-220;-276
09/04/2009;14:30:00;USD;Taux de chomage;0.097;0.095;0.094
11/04/2009;21:15:00;USD;Decision de la FED sur les taux directeur;0.0025;0.0025;0.0025
11/04/2009;17:00:00;USD;Indice PMI manufacturier de l'ISM;50.6;51.7;50.9
12/04/2009;15:30:00;USD;Creation d'emplois dans le secteur non agricole;-11;-114;-111
12/04/2009;15:30:00;USD;Taux de chomage;0.1;0.102;0.102
14/04/2009;14:30:00;USD;Prix à la production mensuel;-0.012;-0.001;0.001
14/04/2009;14:30:00;USD;Ventes au détail mensuelle;-0.011;0.003;-0.001
15/04/2009;14:30:00;USD;IPC core mensuel;0.002;0.001;0.002
16/04/2009;14:30:00;USD;Inscriptions hebdomadaires au chomage;610;659;663
16/04/2009;14:30:00;USD;Permis de construire;0.51;0.55;0.56
23/04/2009;14:30:00;USD;Inscriptions hebdomadaires au chomage;640;635;613
23/04/2009;09:30:00;EUR;PMI manufacturier Allemagne;35;33.2;32.4
